GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poker-engine,de.simonaltschaeffl.poker.service,PayoutCalculator.ShowdownResult,0,9,0,0,0,1,0,1,0,1
poker-engine,de.simonaltschaeffl.poker.service,NoRakeStrategy,0,5,0,0,0,2,0,2,0,2
poker-engine,de.simonaltschaeffl.poker.service,StandardHandEvaluator,140,450,26,58,29,97,22,30,0,10
poker-engine,de.simonaltschaeffl.poker.service,CactusKevEvaluator,10,637,5,99,1,132,4,59,0,11
poker-engine,de.simonaltschaeffl.poker.service,PayoutCalculator.new Record() {...},0,9,0,0,0,1,0,1,0,1
poker-engine,de.simonaltschaeffl.poker.service,PayoutCalculator,34,335,13,29,8,74,13,17,1,8
poker-engine,de.simonaltschaeffl.poker.service,PercentageRakeStrategy,0,41,0,6,0,10,0,5,0,2
poker-engine,de.simonaltschaeffl.poker.service,CactusKevCommon,3,104,0,4,1,12,1,7,1,4
poker-engine,de.simonaltschaeffl.poker.service,NoLimitBettingStrategy,5,56,3,5,1,13,3,4,0,3
poker-engine,de.simonaltschaeffl.poker.service,JsonGameStateSerializer,74,0,4,0,19,0,5,0,3,0
poker-engine,de.simonaltschaeffl.poker.dto,PlayerDTO,9,40,1,1,1,9,1,2,0,2
poker-engine,de.simonaltschaeffl.poker.dto,GameStateDTO,62,74,12,4,11,12,10,3,2,3
poker-engine,de.simonaltschaeffl.poker.dto,CardDTO,8,9,0,0,1,1,1,1,1,1
poker-engine,de.simonaltschaeffl.poker.model,Pot,25,43,2,0,5,12,3,5,2,5
poker-engine,de.simonaltschaeffl.poker.model,GameState.GamePhase,0,45,0,0,0,8,0,1,0,1
poker-engine,de.simonaltschaeffl.poker.model,HandRank,3,81,0,0,1,14,1,2,1,2
poker-engine,de.simonaltschaeffl.poker.model,Deck,6,83,1,5,2,15,2,6,1,4
poker-engine,de.simonaltschaeffl.poker.model,Card.Rank,3,121,0,0,1,19,1,3,1,3
poker-engine,de.simonaltschaeffl.poker.model,GameState,10,100,0,0,4,33,2,17,2,17
poker-engine,de.simonaltschaeffl.poker.model,ActionType,0,45,0,0,0,8,0,1,0,1
poker-engine,de.simonaltschaeffl.poker.model,Action,6,12,0,0,2,1,1,1,1,1
poker-engine,de.simonaltschaeffl.poker.model,Card,8,17,0,0,1,2,1,2,1,2
poker-engine,de.simonaltschaeffl.poker.model,PlayerStatus,0,33,0,0,0,6,0,1,0,1
poker-engine,de.simonaltschaeffl.poker.model,Card.Suit,3,39,0,0,1,8,1,2,1,2
poker-engine,de.simonaltschaeffl.poker.model,Player,10,91,2,2,2,29,2,13,0,13
poker-engine,de.simonaltschaeffl.poker.model,HandResult,4,53,1,5,1,9,1,4,0,2
poker-engine,de.simonaltschaeffl.poker.engine,PokerGameConfiguration,0,45,0,0,0,14,0,7,0,7
poker-engine,de.simonaltschaeffl.poker.engine,PokerGame,21,175,0,0,5,35,5,10,5,10
poker-engine,de.simonaltschaeffl.poker.engine,PokerGameConfiguration.Builder,25,54,2,2,8,16,5,5,3,5
poker-engine,de.simonaltschaeffl.poker.exception,InsufficientChipsException,4,0,0,0,2,0,1,0,1,0
poker-engine,de.simonaltschaeffl.poker.exception,NotYourTurnException,4,0,0,0,2,0,1,0,1,0
poker-engine,de.simonaltschaeffl.poker.exception,HandIsOverException,4,0,0,0,2,0,1,0,1,0
poker-engine,de.simonaltschaeffl.poker.exception,NotEnoughPlayersException,4,0,0,0,2,0,1,0,1,0
poker-engine,de.simonaltschaeffl.poker.exception,InvalidActionException,0,4,0,0,0,2,0,1,0,1
poker-engine,de.simonaltschaeffl.poker.exception,TooManyHoleCardsException,4,0,0,0,2,0,1,0,1,0
poker-engine,de.simonaltschaeffl.poker.exception,GameFullException,0,4,0,0,0,2,0,1,0,1
poker-engine,de.simonaltschaeffl.poker.exception,PokerException,5,4,0,0,2,2,1,1,1,1
poker-engine,de.simonaltschaeffl.poker.engine.component,TableManager,25,162,11,19,8,36,12,10,1,6
poker-engine,de.simonaltschaeffl.poker.engine.component,RoundLifecycle,64,564,11,36,15,121,12,33,2,17
poker-engine,de.simonaltschaeffl.poker.engine.component,RuleEngine,38,168,11,24,8,37,11,17,0,8
poker-engine,de.simonaltschaeffl.poker.engine.component,TimeoutManager,4,82,7,11,4,21,7,4,0,2
poker-engine,de.simonaltschaeffl.poker.engine.component,ActionHandler,17,175,3,10,5,45,3,15,0,9
